Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1704081900000,42358.97000000,42377.43000000,42355.00000000,42355.01000000,33.87225000,1704082199999,1435165.36318870,2041,17.13346000,725914.91090730,0
1704082200000,42355.00000000,42359.16000000,42273.26000000,42287.50000000,74.28473000,1704082499999,3143789.34755150,3600,25.97132000,1099216.26207470,0
1704082500000,42287.50000000,42294.30000000,42244.00000000,42269.57000000,90.04513000,1704082799999,3805845.47991480,4327,49.13956000,2076794.00415050,0
1704082800000,42269.57000000,42315.00000000,42209.46000000,42315.00000000,102.89786000,1704083099999,4348026.05460680,4972,60.46327000,2555373.24484350,0
1704083100000,42315.00000000,42315.00000000,42274.24000000,42307.39000000,68.31150000,1704083399999,2888830.31149830,2833,37.19047000,1572735.04381630,0
1704083400000,42307.40000000,42321.78000000,42283.86000000,42320.28000000,53.50252000,1704083699999,2263703.63241330,2490,22.68849000,959959.10197620,0
1704083700000,42320.28000000,42340.05000000,42320.28000000,42339.55000000,42.73602000,1704083999999,1809056.20102740,2331,17.54478000,742642.95157390,0
1704084000000,42339.56000000,42345.08000000,42306.40000000,42310.98000000,56.97938000,1704084299999,2411921.64639050,2885,18.98221000,803511.49090110,0
1704084300000,42310.99000000,42358.50000000,42304.00000000,42357.04000000,57.80545000,1704084599999,2447062.70104160,2754,36.61490000,1550027.23218970,0
1704084600000,42357.04000000,42366.80000000,42345.22000000,42366.79000000,37.14453000,1704084899999,1573248.00537790,2141,23.45083000,993256.94732660,0
1704084900000,42366.80000000,42399.99000000,42360.01000000,42399.99000000,48.27607000,1704085199999,2045963.33625350,3314,32.58280000,1380905.63172440,0
1704085200000,42399.98000000,42406.00000000,42315.00000000,42320.92000000,77.28996000,1704085499999,3274640.28848510,3955,25.39817000,1076252.25773740,0
1704085500000,42320.92000000,42354.00000000,42320.91000000,42339.99000000,56.65702000,1704085799999,2399057.48343450,2461,30.12791000,1275613.93996260,0
1704085800000,42340.00000000,42356.79000000,42339.99000000,42352.00000000,55.22883000,1704086099999,2338697.81729400,2236,29.67607000,1256626.32866950,0
1704086100000,42352.00000000,42361.10000000,42337.96000000,42356.00000000,98.33937000,1704086399999,4164798.71372930,2588,59.49585000,2519634.35970020,0
1704086400000,42355.99000000,42356.00000000,42338.32000000,42338.33000000,29.69930000,1704086699999,1257564.33248550,1972,14.05626000,595160.85128490,0
1704086700000,42338.32000000,42345.19000000,42297.90000000,42297.91000000,54.52420000,1704086999999,2307725.34835370,2293,18.44849000,780847.02081940,0
1704087000000,42297.91000000,42321.13000000,42296.40000000,42312.73000000,58.06095000,1704087299999,2456436.89703660,3137,31.31976000,1325021.11982320,0
1704087300000,42312.72000000,42312.73000000,42278.00000000,42280.00000000,34.84772000,1704087599999,1473649.51898990,2192,16.72399000,707155.65682960,0
1704087600000,42280.00000000,42305.38000000,42278.00000000,42300.02000000,78.91220000,1704087899999,3337338.27763220,2366,53.09329000,2245276.19474770,0
1704087900000,42300.01000000,42300.02000000,42234.35000000,42237.98000000,66.93666000,1704088199999,2828369.99136280,2877,11.26952000,476189.27522430,0
1704088200000,42237.99000000,42242.03000000,42211.47000000,42227.97000000,61.34150000,1704088499999,2590360.10593380,2838,22.51389000,950701.44724370,0
1704088500000,42227.97000000,42234.01000000,42180.77000000,42234.01000000,64.69381000,1704088799999,2730894.70167280,3285,28.56992000,1206116.41889940,0
1704088800000,42234.01000000,42277.30000000,42208.68000000,42277.29000000,69.10295000,1704089099999,2919284.74977710,2769,44.13096000,1864491.99978510,0
1704089100000,42277.30000000,42301.98000000,42275.00000000,42290.19000000,72.05076000,1704089399999,3046874.44201410,1882,44.96070000,1901107.20621080,0
1704089400000,42290.19000000,42290.19000000,42262.00000000,42276.01000000,50.05483000,1704089699999,2116169.32080240,2130,20.32740000,859324.38997850,0
1704089700000,42276.00000000,42344.76000000,42270.22000000,42342.01000000,50.25578000,1704089999999,2126588.49852090,2361,39.79126000,1683658.82058650,0
1704090000000,42342.01000000,42342.01000000,42281.10000000,42311.16000000,37.33549000,1704090299999,1579426.52966890,2200,14.81708000,626708.94845390,0
1704090300000,42311.16000000,42321.10000000,42305.71000000,42321.10000000,30.05723000,1704090599999,1271797.61238470,1718,18.85493000,797779.06570430,0
1704090600000,42321.10000000,42346.78000000,42309.15000000,42336.91000000,51.46283000,1704090899999,2178321.61460410,2190,30.43770000,1288385.91708260,0
1704090900000,42336.92000000,42361.30000000,42336.91000000,42354.99000000,65.41935000,1704091199999,2770663.12186550,5758,37.49866000,1588043.93544120,0
1704091200000,42354.99000000,42385.57000000,42354.99000000,42377.62000000,39.59875000,1704091499999,1677979.16524480,3995,24.75742000,1049011.36202950,0
1704091500000,42377.61000000,42404.99000000,42372.52000000,42380.05000000,60.16833000,1704091799999,2550230.44113180,3519,31.96817000,1354798.17135130,0
1704091800000,42380.06000000,42424.82000000,42376.43000000,42411.51000000,40.13392000,1704092099999,1701705.53367430,2087,21.61323000,916302.75290700,0
1704092100000,42411.50000000,42411.51000000,42391.29000000,42396.69000000,35.73228000,1704092399999,1515074.81506060,2044,19.57759000,830072.68468950,0
1704092400000,42396.69000000,42478.25000000,42396.68000000,42432.01000000,72.01969000,1704092699999,3056570.40925750,3609,39.69689000,1684312.05581080,0
1704092700000,42432.00000000,42481.10000000,42431.10000000,42471.10000000,130.37551000,1704092999999,5535496.91915710,3173,80.26048000,3407508.08107550,0
1704093000000,42471.10000000,42475.59000000,42451.82000000,42454.01000000,40.91418000,1704093299999,1737379.50260690,1978,13.81547000,586649.21663510,0
1704093300000,42454.01000000,42460.18000000,42441.53000000,42453.99000000,48.16574000,1704093599999,2044695.21427220,2386,27.56556000,1170137.63138880,0
1704093600000,42454.00000000,42472.36000000,42434.87000000,42454.64000000,55.80331000,1704093899999,2369020.51722940,2529,29.12042000,1236246.45447500,0
1704093900000,42454.64000000,42500.00000000,42454.63000000,42487.70000000,60.76327000,1704094199999,2581211.34371860,2598,28.88536000,1226911.96175160,0
1704094200000,42487.70000000,42500.00000000,42481.10000000,42495.21000000,55.93610000,1704094499999,2376853.30576390,1949,20.11597000,854727.37722790,0
1704094500000,42495.22000000,42500.00000000,42495.21000000,42496.55000000,30.61851000,1704094799999,1301214.94701200,1983,12.67423000,538614.81812270,0
1704094800000,42496.55000000,42496.55000000,42446.71000000,42446.72000000,44.09963000,1704095099999,1872809.57540830,1982,7.15290000,303716.20937850,0
